exam,year,shift,question_text,question_length,subject,topic,bloom_level,difficulty,image_source,folder_source
TNPSC,2023,No,"130. If 18,a,b,-3 are in Arithmetic progress, then what is the value of (a+b)?     a 7 we (Mis @2i (E) Answer not known. 18, a, b,  -3 Qaoa mi @OsOgmir auflensuIe 2 drag cra (a + b)-uNen wALIYS EIT OTE. (A) 7 7 @u “(C) 15 7 ot (D) 21 (E) en. Ag fiusdenco",54,Mathematics,Arithmetic,Remember,Very Hard,page_20.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"A person saved money every year, half as much as he could in the   previous year. If he had saved totally 27,875 in 6 years then how much   did he save in the first year? (A) © 3,000. Co som (C) © 4,500 oe - @D) & 5,000 (E) Answer not known     ;   BG Bur gaGang <ayein Gud AHS YWhasu mycin) Gaillés. Gprenauile uirglenus Geilaélpm. 6 Bar Hsail sieut & 7 810- Be Gebespnt TONG ApsZa ape) Geilury (A) e 3,000 . (B) £ 4,000 (C) % 4,500   @) £5,000 (E) Alen. Aguada : cessv2022 tt iti   m",98,General Studies,General,Understand,Very Hard,page_20.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"182. ‘There is 60% increase in an amount in 6 years at simple interest.   Then the compound interest of @12, 000 after 3 years at the same rate is (A) 2,160 7 ~ @B) %3,120   (OV, 972 CD) 6,240   (E) Answer not known BG @obiungeor WED saillet’ ty aAigsha 6 agoin se 60% AAG DS). ae ailig Sasso & 12, 000-é&@6 3 pan Haatle Elen &GiD Sat G) atin. (A) % 2,160 , (B) % 3,120 © 3972   ~ @) % 6,240  (E) Aer Agsfuceaca",85,Mathematics,Statistics & Probability,Understand,Very Hard,page_21.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"The population of a village i increases at the rate of 7 % every year. If the , - present population i is 90,",24,Geography,Physical Geography,Understand,Medium,page_21.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"The population a after two years is (A) 96,300 (B) 1, 03,000 ~ (C) 1,00,000 OMT, 7,03,041 (E) Answer not known am &pnwsgslet wser Cgrene or Anengsg '™% @igib sipshsdpgs } Quaurgsi woéact Ggrens 90,000 crafler 2 SenGswsu IG) SEDs Bo WSS Cletens (A) 96,300 (B) 1,03,000. (C) 1;00,000 @) 1,03,041 (E) la Ashweal@ae a7   ©CS4'T/2022 ne . [Turn over",60,Geography,Physical Geography,Understand,Very Hard,page_21.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"134. The 86 Constitutional Amendment Act, 2002 has. introduced the fundamental duty under 51 A(K)is .. (A)Wfo provide free and compulsory educational opportunities t to all the »   (B) (C) (D) (E)   children until they attain the age of fourteen. . To value the rich heritage of our composite culture  s, To defend the country and render national service when called   upon to do so To protect the natural environment Answer not known 86-19) sAweewiiy Bospterun 2002- Berg, 51 A(K)- Qe orbs AGKUUOL SOW SH PSIUHSSUUC Heras ? (A) (B) (C) (D) ® 14 auwglbe aturt sanersy - SPHMSIG SL Qaas bmibd smu Eda Sessa . uuimpibuAws sec EOMESTTSOOS WASH UTHSTSSOD   GséF urgeniGhars Gameusu@wGurg Spro Lester SuimpruA esse   Qwuhns ahp Foor uTgens sa - Mer. Agsfwueileanc :",127,Geography,Physical Geography,Evaluate,Very Hard,page_22.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"How many pairs are correctly matched? 4, (A)   (CM3 Party Symbol All India Trinamool Congress   Two Flowers and Grass - Nationalist Congress Party   Clock Telangana Rashtra Samiti  . Car   Asom Gana Parishad   Lock and Key 1 pair . - (B) 2 pairs   pairs (D) 4 pairs: (E) Answer not known . Sipsscirauppiet ageonen Qoonadr enwracs QM GSS: Hetraren 2 acf   Slestenib",61,Reasoning & Mental Ability,Verbal Reasoning,Remember,Very Hard,page_22.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"S\avmib Sent Lillags ,   Lbi-@) osm era (A) 1 @lenenr   ) ~ (B) 2 2 Qenamracr   (C) 3 Q@oract oe (D) 4Qmonscar . Aor Agshueiledene CCS47/2022 : . 6 a   -",31,General Studies,General,Understand,Hard,page_22.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"136. ‘Which among the following is/are correct about the J udiciary i in India? (i) India has borrowed the concept of Judicial Review from the USA. (i) Both the federal and State laws can be subjected to Judicial Review .   by the Supreme Court. . (iii) The Constitution Article 13B saves the Acts from Judicial Review. (AW and (ii) only (B) ( and (ii) only -(C) Gi) and (iii) only (D) (i), Gi) and (iii) (E) Answer not known Qosumraile SACerpMLsey usb lus ipamnein.seuppicr orgy/orenan EIwiTeoreneu G) @ssur FA LYerymivay GTEND S(GFSHIGHOOU Go flésaresledl cbs) Gupbpsi Gi) gerihlu = WILD tompleo srLmac Qyarhib 26 SSoenps sien   Fac yerpmiaisGe UG (ii) s7Aluemoty SLL Rey 13B SASsgieop wp) aay Geitseuong eades (A) G@) wood (i) wL@b Dos (B) G@) opp Gil) we @w (C). Gi) opp Gil) we Ow (D) (i), Gi) wid (ii) © (E) er ~ Spituscddrene ) ~~. 187, Which ‘one of the following Articles empower the > Supreme Court and High Courts to issue writs? (A) Article 23 and Article 226 - ©) Article 32 and Article 228 (C) Article 226 and Article 36 ze) ticle 32 and Article 226 (E) Answer not known oo     Gerad FLL Aflaysefe onbeé sLLUGiMey ouitpSvenpssoes GCuprenemaenents pride agsismpib Mosler s) ?   a (A) B LUIGMey 23 whmib 226 (B). SLLUIGMEY 32 Lopgub 228 (C) sc eiGfey 226 wdpid 86 (D) sk LeMay 32 womb 226 (E) len AgMueilacra Se ou   Ao - - CCS4T/2022 7  ‘ [Turn over",246,Indian Polity,Constitution of India,Remember,Very Hard,page_23.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,‘Under the duties of the father; what is the duty 0 of the father to his son   as found in the Kural. “Thanthai magarkaatrum nandri”  ? : (Anaiyil Munthi irukka Seyal (B) Selvathil Munthirukka Seyal ~(C) Kudiperumaiyil Munthiyirukka Seyal (D)   Nermaiyil Munthi irukka Seyal - (E) Answer not known “bags wahembdmid perp)” erarepild AGsepallen Ulg. HOS DE GDIE GE Gein perl erg ? (A) sianeudeo YPAIGeas aise (B) Aedagssa PpAuIGesé Asiiiga (C) Gq UQuGewule Eppaudcaas Gewige * (D) Gpirenwude pA Gsas Aewise (E) Sle Asfueileena,85,General Studies,General,Remember,Very Hard,page_24.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"The first surveyor of the Archaeological Survey of India (AST) was   , (A) Charles Mason . , (B) Alexander Burnes :   (C)\ Alexander Cunningham (D) Sir John Marshal (E) Answer not known - 7 QHSAUS AprdAwud giles ginpudlen psc  mweurarit (A) entod Gost ss) s@erkerdin i ied (©) Gosencimit sérefitsaonb. @) Sit eirest tomtanye . (E) cleo ApsfuscAeden CCS4T/2022 ee } oo ou",63,General Studies,General,Understand,Very Hard,page_24.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"140. Extra copy of chromosome 21 results in (A) - Sickle cell anaemia a   @ “Down syndrome (©) Kline Felter syndrome   @) Thalassemia (E) Answer not known , : a : eGmGunGemb 21-Qe Om pase Opens Bguiiten genn@ opudas 7 (A) « aifleuner Quss Geren (BB) Layer Aan Comd . (C) é&enmereQuadit Aen Gymb - , () segouin   (E) Alen. Agsifuehldene",61,Science & Technology,Physics,Understand,Very Hard,page_25.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"Which of the following is correctly paired? (1) Pattadakkal = Chalukyas of Vatapi : (2) Elephanta Caves   Ashoka , (3). Ellora Caves   Rashtrakutas - - (4) Mamallapuram = Narasimha Varma I (7, 3, 4arecorrectt - (B) 2,3,4are correct   , (C) 4, 3, 2 are correct   (D) 4,1, 2 are correct ' (E) Answer not known efluuimen Qeemonugs Gpia Asis. (1) ULLL&Ed . = aurgm9 en@péaluit (2) aSQuemom Gnsacr   xiGereit - - (3) eeGengr @@aser   preigig péignt itsct (4) lomp@e@uygd = apsembd pysibiweutwest (A) 1, 3,4 efwmengy © ,   (B) . , 2, 3, 4 sfurengy (©) 4,3, 2 efluinengy WD) - 4,1, 2 eMuireng) (E) cla AsitiscAedene   m a er; , CCS4T/2022 . 7 [Turn over   \",117,History,Ancient History,Understand,Very Hard,page_25.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"142. “India will be a land of many 7 faiths equally honoured and respected, but - of one national outlook”   Who said this?   (A) MahatmaGandhi * (BMSawaharlal Nehru (C) Dr.B.R. Ambedkar. = * «(D) Sir Syed Ahmed Khan (E) “Answer not known ; “@bHun udGeigy pibiQéanssencré FLOLOTE Guns infléaciiGib Quo, Q@suGsr@ Cr GsAwes sainGanrm. sags Clarretorig. SGD” eres So Hlwieut - (A) wangior amps)» a   (B) gaantare Cao  (C) Dr. BR. bGussir (D). st mswig) swgieret (E) Men Asfuclaae",79,General Studies,General,Understand,Very Hard,page_26.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"Which of the following statements are correct? (i) Rajasthan plains is located to the west of Aravalli range   (ii). Punjab-Haryana plains lies to the North-East of the Great Indian - Desert (iii) Ganga plains extends from the Yamuna River in the west. to - Mizoram in the east - (iv): Brahmaputra plains is located mainly in the state of Meghalaya ) (A) (i), (ii) and (iv) only © BM and (ii) only (C) Gi) and (iii) only oo (D). (ii) and (iv) only (E) Answer not known   «Etpéaeir euhmidt crana siflurent eunéSuniuesér? (i) Ooregevsmen suGlaiefl Ajouard wmagsn wae Guopdled “sioniopgisrargy. Gi) ugend-anAurenn eGlauaflecr QsHpur Lirenevouenssslear euLdéipsGa AMOS sere. (ill) smeaé siQaiafl Gop Wiapenesr AHN GbE) ipadlen Senn cue LueMuyetergsy. (iv) ApbwusH7r soGaahuIer QumTbuGsH Crosineousrasie senlopgisrorg). (A) (), Gii) wm (iv) WL @w @) @ wppm Gi) oon ~ (C) Gi) wip Gil) we @w ~ (@) Gi) word Gv) we @w   (E) aear AsMucdena ‘CCS4T/2022 oe 52 a u",159,Geography,Indian Geography,Remember,Very Hard,page_26.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"144, Pick out the correct statements : Statement 1 : The delta of the Ganga Brahmaputra has the largest , tidal forest. oe , Statement 2 : Tidal forest are also known as mangrove forest. (a hoth statements are true ; (B) Both statements are false . (C) Statement 1 is true 2 is false : () Statement 1 is false 2 is true (E) Answer not known shunen uTshwugseonss CsibAshssayd bo eunéwid 1 : stiens-AbwysSoT Quéu@r UsAaafle Bei@uru sg   flosanQsct 2 draren. - :   aréAuib 2: senounssls   sin adr “wma Gymeu” en(Qasdt - crear)   AO PSSLILI HA CHY ON. , (A) Bran@ euréAuwiseermi ef (B) QrarG aréAuise5b sup (C) amé&ud 1 ef; 2 sain)   a (D) anéAwwd 1 sau; 2 af (E) Aer Qsfiuctéoa   ml   re GegaTv2e22 - [Turn over ig",132,Geography,Physical Geography,Remember,Very Hard,page_27.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,‘145. Match the awards with recognition : oe Award   . 4 Recognition (a) Perumthalaivar,14,Current Affairs,Awards & Honors,Understand,Easy,page_28.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"Increase enrolment in school. ' Kamarajar award , (b) Puthumai Palli Award",12,Current Affairs,National Current Affairs,Understand,Easy,page_28.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,Service of the best teacher @ ® © @ (A) 4 3 1 BM 3 1° (© 1 2 4 @) 3 4 2 (639) Answer not known me ©  - DO 7 eflangiedt Wpgid smusargsogy QunGsgis : Alger   many . (a) QuGtsm@art amograt Aes,45,General Studies,General,Understand,Hard,page_28.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"saps, Qurgengny furs Dergmidus   . . - wWitesteuiteener CobuGsgise (d) orem Agegenrer Ans)",13,General Studies,General,Understand,Easy,page_28.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,gARwo venuIe Apis Mermese @ 6) © @ (A) 4 3 1 2 (B) 2 3 #1 #4 @i 2 4 3 @) 3 #4 2 1   (E) ceo AgsAucMadene CCS4T/2022. BA d,33,General Studies,General,Understand,Hard,page_28.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,Match the Geographical Indiation Tag GI tag) Product with its place = Product   Place (a) Turmeric,16,General Studies,General,Understand,Medium,page_29.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"‘Thanjavur , (d) Sungudi - @ © ©. (d) (A) 1 2 3 BMF 3 4 (C)1 3 °° 2 M2 1 4   (B). Answer not known ao - } Bb. yelent i186 (GI tag) Guinge-sener oisén @-sgve duresas ~Gumget Qutb   (a) wepecr",43,General Studies,General,Understand,Hard,page_29.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,4 (B)2 8 4 1- O11 3 2 4° M2 tr 4,12,General Studies,General,Understand,Easy,page_29.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"© flan Gs fluciloare a Ho   me 5 an cosanian23, ‘TTurn over",12,General Studies,General,Understand,Easy,page_29.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,Taxes levied and collected by u union   Art 269 but Assigned to the state :,15,Indian Economy,Macroeconomics,Remember,Medium,page_3.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,Duties levied by the union but collected   Art 268 and Appropriated by the state a,15,General Studies,General,Remember,Medium,page_3.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,. Tax levied and collected by the union   Art 267   but which may be distributed between union territory and states (A) i only   . (B) 2 and 3 only (CM and 2only   (D) land 3only (BE) Answer not known = eflusmen Glancorenuig Gsitbhas@ :,44,Indian Economy,Macroeconomics,Remember,Hard,page_3.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"ssw ATETA AGSHIULG, USGOSSIULG wrpletise5sG PHISH Srig. uy GUGTUEET = ag egi 269 -2.° wéhw Sere AASHLi ©, Rorre wiple sie - ag7sgi-268 UES@*MOUUT! WdHd uwew# Hs Hass .",29,General Studies,General,Understand,Medium,page_3.png,TNPSC-Group-4-2023-General-Studies
TNPSC,2023,No,"wsHwu sera APs, ag SHsaiu     ays 267   tomifleouadt Lop mid ypeoflusesr: Mj CE oTIE CEG Uli pA E Song. euflascr (A) 1lwt@b (B) 2 pg 3 we.@w (C) 1 wip 2 Lor @ub (MD) 1 Loy pid 3 wt @ib   © Meo Gshucldeoa   ag   ee CCS4T/2022 7 [Turn over",49,General Studies,General,Apply,Hard,page_3.png,TNPSC-Group-4-2023-General-Studies
