exam,year,shift,question_text,question_length,subject,topic,bloom_level,difficulty
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 4 (Maximum Marks: 12) e This section contains FOUR (04) Matching List Sets. e Each set has ONE Multiple Choice Question. e Each set has TWO lists: List-I and List-ll. e   List-I has Four entries (P), (Q), (R) and (S) and List-II has Five entries (1), (2), (3), (4) and (5). e FOUR options are given in each Multiple Choice Question based on List-I and List-Il and ONLY ONE of these four options satisfies the condition asked in the Multiple Choice Question. e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +3 ONLY if the option corresponding to the correct combination is chosen; Zero Marks : 0 If none of the options is chosen (i.e. the question is unanswered); Negative Marks:  1 Inall other cases. Q.14 List-I shows different radioactive decay processes and List-II provides possible emitted particles. Match each entry in List-I with an appropriate entry from List-II, and choose the correct option. List-I List-II (P) *38U > *34Pa (1) one @ particle and one f* particle (Q) *45Pb > 735Pb (2) three B~ particles and one a particle (R) 7a9Tl > 28SPb (3) two B™ particles and one a@ particle (S) *28Pa > 728Ra (4) one @ particle and one B™ particle (5) one a@ particle and two f* particles (A)P ~4,Q073,R72,5>1 (B)P>4,Q071,R 72,835 (C)P >5,Q>3,R>1,8>4 (D)P ~5,Q071,R 73,832 Q.15 Match the temperature of a black body given in List-I with an appropriate statement in List-II, and choose the correct option. [Given: Wien’s constant as 2.9 x 10-3 m-K and ~* = 1.24 x 10-6 V-m] List-I List-I (P) 2000 K (1) The radiation at peak wavelength can lead to emission of photoelectrons from a metal of work function 4 eV. (Q) 3000 K (2) The radiation at peak wavelength is visible to human eye. (R) 5000 K (3) The radiation at peak emission wavelength will result in the widest central maximum of a single slit diffraction. (S) 10000 K (4) The power emitted per unit area is 1/16 of that emitted by a blackbody at temperature 6000 K. (5) The radiation at peak emission wavelength can be used to image human bones. (A)P3>3,Q75,R 72,533 (B)P>3,Q072,R>4,S>1 (C)P33,Q74,R>72,S>1 (D)P ~1,Q072,R 35,533 8/9",376,Mathematics,Algebra,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.16 A series LCR circuit is connected to a 45 sin(wt) Volt source. The resonant angular frequency of Q.17 the circuit is 10° rad s~+ and current amplitude at resonance is Jj. When the angular frequency of the source is w = 8 x 10* rad s+, the current amplitude in the circuit is 0.05 Jp. If L = 50 mH, match each entry in List-I with an appropriate value from List-IJ and choose the correct option. List-I List-II (P) Jo inmA (1) 44.4 (Q) The quality factor of the circuit (2) 18 (R) The bandwidth of the circuit in rad s~+ (3) 400 (S) The peak power dissipated at resonance in Watt (4) 2250 (5) 500 (A)P3>2,Q73,R75,5>1 (B)P>3,Q071,R 74,832 (C)P > 4,Q75,R>3,S>1 (D)P > 4,0 72,R 71,835 A thin conducting rod MN of mass 20 gm, length 25 cm and resistance 10 2 is held on frictionless, long, perfectly conducting vertical rails as shown in the figure. There is a uniform magnetic field By = 4T directed perpendicular to the plane of the rod-rail arrangement. The rod is released from rest at time t = 0 and it moves down along the rails. Assume air drag is negligible. Match each quantity in List-I with an appropriate value from List-II, and choose the correct option. [Given: The acceleration due to gravity g = 10 ms~? and e ""1 = 0.4] © © © Boe List-I List-I (P) At t = 0.2 s, the magnitude of the induced emf in Volt (1) 0.07 (Q) At t = 0.2 s, the magnitude of the magnetic force in Newton (2) 0.14 (R) At ¢ = 0.2 s, the power dissipated as heat in Watt (3) 1.20 (S) The magnitude of terminal velocity of the rod in m s~+ (4) 0.12 (5) 2.00 (A)P~5,Q72,R>3,S>1 (B)P>3,Q71,R74,8>5 (C)P > 4,0 73,R 71,832 (D)P ~3,Q074,R 72,835 END OF THE QUESTION PAPER 9/9",319,Mathematics,Algebra,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.2 2 2 Let 7, and 7, be two distinct common tangents to the ellipse FE: ~ + > =1 and the parabola P:y’ =12x. Suppose that the tangent T, touches P and E£ at the points A, and A,, respectively and the tangent 7, touches P and E atthe points A, and A,, respectively. Then which of the following statements is(are) true? (A) The area of the quadrilateral A, A,A,A, is 35 square units (B) The area of the quadrilateral A,A,A,A, is 36 square units (C) The tangents 7, and 7, meet the x -axis at the point ( 3,0) (D) The tangents 7, and 7, meet the x -axis at the point ( 6,0) Q.3 3 1 Let f :[0,1] > [0,1] be the function defined by f(x) = 5 x4 = = . Consider the square region S =[0,1]x[0,1]. Let G={(x,y)eS:y> f(x)} be called the green region and R={(x,y) eS: y< f(x)} be called the red region. Let L, = {(x,h) € S: x €[0,1]} be the horizontal line drawn at a height # € [0,1]. Then which of the following statements is(are) true? 1 2 (A) There exists an Ae 4   such that the area of the green region above the line Z, equals the area of the green region below the line L, 1 2 (B) There exists an h € a 2 such that the area of the red region above the line L, equals the area of the red region below the line L, 107 (C) There exists an he 43 such that the area of the green region above the line L, equals the area of the red region below the line L, /1 2] . . (D) There exists an he 3 such that the area of the red region above the line L, equals the area of the green region below the line L, 2/10",319,Mathematics,Trigonometry,Remember,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Chemistry SECTION 1 (Maximum Marks: 12) This section contains THREE (03) questions. Each question has FOUR options (A), (B), (C) and (D). ONE OR MORE THAN ONE of these four option(s) is(are) correct answer(s). For each question, choose the option(s) corresponding to (all) the correct answer(s). Answer to each question will be evaluated according to the following marking scheme: Full Marks : +4 ONLY if (all) the correct option(s) is(are) chosen; Partial Marks : +3 If all the four options are correct but ONLY three options are chosen; Partial Marks : +2 If three or more options are correct but ONLY two options are chosen, both of which are correct; Partial Marks : +1 If two or more options are correct but ONLY one option is chosen and it is a correct option; Zero Marks : 0 If none of the options is chosen (i.e. the question is unanswered); Negative Marks:  2 Inall other cases. For example, in a question, if (A), (B) and (D) are the ONLY three options corresponding to correct answers, then choosing ONLY (A), (B) and (D) will get +4 marks; choosing ONLY (A) and (B) will get +2 marks; choosing ONLY (A) and (D) will get +2 marks; choosing ONLY (B) and (D) will get +2 marks; choosing ONLY (A) will get +1 mark; choosing ONLY (B) will get +1 mark; choosing ONLY (D) will get +1 mark; choosing no option (i.e. the question is unanswered) will get 0 marks; and choosing any other combination of options will get  2 marks. The correct statement(s) related to processes involved in the extraction of metals is(are) (A) Roasting of Malachite produces Cuprite. (B) Calcination of Calamine produces Zincite. (C) Copper pyrites is heated with silica in a reverberatory furnace to remove iron. (D) Impure silver is treated with aqueous KCN in the presence of oxygen followed by reduction with zinc metal. W/1l",319,Mathematics,Algebra,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.2 ‘In the following reactions, P, Q, R, and S are the major products. (i) PhMgBr, then H,0” CH,CH,CH(CH;)CHCN ~ p (ii) PRMgBr, then H»O fe) I i) anhyd. AICI PhH + cHcc)  anhy 3 , (ii) PRMgBr, then H3O Q i) 4 (PRCH,),Ca CH3CH,CCI ~ oR (ii) PhMgBr, then HO (i} PAMgBr, then H3O ii) CrO3, dil. H2SO PhCH,CHO MN) Cra, de 2SO4 sg (iii) HON The correct statement(s) about P, Q, R, and S is(are) (A) Both P and Q have asymmetric carbon(s). (B) Both Q and R have asymmetric carbon(s). (C) Both P and R have asymmetric carbon(s). (D) P has asymmetric carbon(s), S does not have any asymmetric carbon. 2/11",118,Unknown,Unknown,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.3 Consider the following reaction scheme and choose the correct option(s) for the major products Q, R and S. (i) BoHg i) CrO3, H»SO Styrene   ~ p LETOs MSO, ig (ii) NaOH, H2O2, HzO (i) Cl,, Red phosphorus (iii) H>O (i) SOCI, conc. H»SO, (ii) NaCN S (iii) HzO*, A O Cl. COOH O NH> NH, SO3H Q R (A) s ;   (By) @ R s © O . : COOH () @ R s ° O O \ “Cl ; ° H, NH, N SO3H R 3/11",92,Unknown,Unknown,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 2 (Maximum Marks: 12) e This section contains FOUR (04) questions. e Each question has FOUR options (A), (B), (C) and (D). ONLY ONE of these four options is the correct answer. e For each question, choose the option corresponding to the correct answer. e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +3 If ONLY the correct option is chosen; Zero Marks : QO. If none of the options is chosen (i.e. the question is unanswered); Negative Marks :  1 Inall other cases. Q.4 Inthe scheme given below, X and Y, respectively, are ; aq. NaOH Metal halide  » white precipitate (P) + Filtrate (Q) PbO, (excess) heat MnO(OH),, Conc. H,SO,  >  YF (gives blue-coloration with KI-starch paper) warm X (a coloured species in solution) (A) CrO4? and Br2 (B) MnO” and Cl, (C) MnOg and Cl, (D) MnSOg and HOCI Q.5 Plotting 1/A,, against cA,, for aqueous solutions of a monobasic weak acid (HX) resulted in a straight line with y-axis intercept of P and slope of S. The ratio P/S is [Am = molar conductivity Am = limiting molar conductivity ¢ = molar concentration K, =dissociation constant of HX] (A) K Ao, (B) K, A® /2 (C) 2K, AS, (D)1/ (Ka A%) 4/11",219,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.6 Q.7 On decreasing the pH from 7 to 2, the solubility of a sparingly soluble salt (MX) of a weak acid (HX) increased from 10~* mol L™? to 107? mol L+. The pK, of HX is (A) 3 (B) 4 (C) 5 (D) 2 In the given reaction scheme, P is a phenyl alkyl ether, Q is an aromatic compound; R and S are the major products. (i) NaOH HI (ii) CO» (i) (CH3C0),0 P Q ~ R ~ § (iii) H30* (ii) H3z0* The correct statement about S is (A) It primarily inhibits noradrenaline degrading enzymes. (B) It inhibits the synthesis of prostaglandin. (C) It is a narcotic drug. (D) It is ortho-acetylbenzoic acid. 5/11",121,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 3 (Maximum Marks: 24) e This section contains SIX (06) questions. e The answer to each question is a NON-NEGATIVE INTEGER. e For each question, enter the correct integer corresponding to the answer using the mouse and the on- screen virtual numeric keypad in the place designated to enter the answer. e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +4 If ONLY the correct integer is entered; Zero Marks : 0 Inall other cases. Q.8   The stoichiometric reaction of 516 g of dimethyldichlorosilane with water results in a tetrameric Q9 cyclic product X in 75% yield. The weight (in g) of X obtainedis  . [Use, molar mass (g mol~+): H = 1, C = 12, O= 16, Si= 28, Cl = 35.5] A gas has a compressibility factor of 0.5 and a molar volume of 0.4 dm? mol7? at a temperature of 800 K and pressure x atm. If it shows ideal gas behaviour at the same temperature and pressure, the molar volume will be y dm? mol7?. The value of x/y is  . [Use: Gas constant, R=8 x 107? Latm K7! mol™?] 6/11",198,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.10 The plot of log ky versus Vip for a reversible reaction A (g) = P (g) is shown. 0.002 7(K) Pre-exponential factors for the forward and backward reactions are 1015s? and 1011 s7}, respectively. If the value of log K for the reaction at 500 K is 6, the value of  logk, at250Kis [K = equilibrium constant of the reaction ky = rate constant of forward reaction k, = rate constant of backward reaction] Q.11 One mole of an ideal monoatomic gas undergoes two reversible processes (A + B and B > C) as shown in the given figure: a fo} o V, , T, [s)) oO Temperature (K) ray O -------- i) Volume (m A   Bis an adiabatic process. If the total heat absorbed in the entire process (A > B and B > C) is RT, 1n 10, the value of 2logV, is  . . 5 [Use, molar heat capacity of the gas at constant pressure, Cy m = 3 R] WA",169,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.12 Ina one-litre flask, 6 moles of A undergoes the reaction A (g) = P (g). The progress of product formation at two temperatures (in Kelvin), T, and T2, is shown in the figure: [P] (mol L“?) 4 a T, Time (h) If T, = 2T and (AG$   AG®) = RT, Inx, then the value ofxis 2 1 [AG® and AG are standard Gibb’s free energy change for the reaction at temperatures T; and T, tespectively. ] Q.13 The total number of sp” hybridised carbon atoms in the major product P (a non-heterocyclic compound) of the following reactionis  . vu ae (i) LiAIH, (excess), then H»O NC CN (ii) Acetophenone (excess) 8/11",116,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 4 (Maximum Marks: 12) e This section contains FOUR (04) Matching List Sets. e Each set has ONE Multiple Choice Question. e Each set has TWO lists: List-I and List-ll. e  List-I has Four entries (P), (Q), (R) and (S) and List-II has Five entries (1), (2), (3), (4) and (5). e FOUR options are given in each Multiple Choice Question based on List-I and List-Il and ONLY ONE of these four options satisfies the condition asked in the Multiple Choice Question. e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +3 ONLY if the option corresponding to the correct combination is chosen; Zero Marks : 0 If none of the options is chosen (i.e. the question is unanswered); Negative Marks:  1 Inall other cases. Q.14 Match the reactions (in the given stoichiometry of the reactants) in List-I with one of their products given in List-II and choose the correct option. List-I List-I (P) P20; + 3E20 > (1) P(O\(OCH:)CL (Q) Ps + 3NaOH + 3120 > (2) H3PO3 (R) PCI; + CH;COOH (3) PH (S) H3PO2 + 2H20 + 4AgNO;3 > (4) POC]; (5) HsPO. (A)P > 2;Q53;R751;835 (B)P >3;Q55;R7>4;8S>2 (C)P>5;Q>52;R51;8>3 (D)P > 2;Q43;R754;8 355 9/11",210,Mathematics,Algebra,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.15. Match the electronic configurations in List-I with appropriate metal complex ions in List-II and Q.16 choose the correct option. [Atomic Number: Fe = 26, Mn = 25, Co = 27] List-I (P) tog eg (Q) tag e (R) e” ty (S) t3g eg (A) P (B) P (C)P (D) P >4;R >2;R >2;R >2;R »>2;S>3 »>4;S 55 >5;S > 1 »>4 S51 >1;Q >1;Q > 3;Q >3;Q List-II (1) [Fe(H20)«]** (2) [Mn(H0).]"" (3) [Co(NH3)6]** (4) [FeCla] (5) [CoCla]>- Match the reactions in List-I with the features of their products in List-II and choose the correct option. List-I (P) (-)-1-Bromo-2-ethylpentane aa. Naor (single enantiomer) Sn2 reaction aq. NaOH (Q) (-)-2-Bromopentane (single enantiomer) Sn2 reaction aq. NaOH -)-3-Bromo-3-methylhexane (R) © y Sn1 reaction (single enantiomer) Me"" Me Br (single enantiomer) aq. NaOH Sy1 reaction (S) (A) P (B) P (C)P (D) P >2;R >1;R >2;R >4;R >5;S>3 »>3;S 55 >5;S 34 >3;S55 >1;Q >2;Q >1;Q >2;Q List-II (1) Inversion of configuration (2) Retention of configuration (3) Mixture of enantiomers (4) Mixture of structural isomers (5) Mixture of diastereomers 10/11",182,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 2 (Maximum Marks: 12) This section contains FOUR (04) questions. Each question has FOUR options (A), (B), (C) and (D). ONLY ONE of these four options is the correct answer. For each question, choose the option corresponding to the correct answer. Answer to each question will be evaluated according to the following marking scheme: Full Marks : +3. If ONLY the correct option is chosen; Zero Marks : O Ifnone of the options is chosen (i.e. the question is unanswered); Negative Marks :  1 In all other cases. Q.4 Q.5 Q.6 Let f :(0,1) > BR be the function defined as f(x) = Vn ifxe jt) where ne N, Let n+l n g:(0,1) > BR be a function such that   ar < g(x)< 2Vx for all xe (0,1). Then lim f(x) g(x) (A) does NOT exist (B) is equal to 1 (C) is equal to 2 (D) is equal to 3 Let Q be the cube with the set of vertices {(%; X5X,) € R®:x,,x,,x, € {0,1} \ . Let F' be the set of all twelve lines containing the diagonals of the six faces of the cube QO. Let S be the set of all four lines containing the main diagonals of the cube Q;; for instance, the line passing through the vertices (0,0,0) and (1,1,1) is in S. For lines 4, and 4,, let d(¢,,,) denote the shortest distance between them. Then the maximum value of d(¢,,/,), as ¢, varies over F and ¢, varies over S, is 1 1 1 ] B)   Cc)   D)   7 ® oR OR ” ip (A) 2 2 Let X = [cs ye ZxZ : >t 0 <landy’< s  . Three distinct points P, Q and R are randomly chosen from X . Then the probability that P, Q and R form a triangle whose area is a positive integer, is 71 73 79 83 A)   B)   Cc)   Db)   9) 550 ®) 390 30 ) 390 3/10",330,Mathematics,Trigonometry,Remember,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q.17 The major products obtained from the reactions in List-II are the reactants for the named reactions mentioned in List-I. Match List-I with List-II and choose the correct option. List-I (P) Etard reaction (Q) Gattermann reaction (R) Gattermann-Koch reaction (S) Rosenmund reduction (A) P >2;Q54;R751;85>3 (B)P > 1;Q53;R>55;S>2 (C)P>3;Q52;R51;8S34 (D)P >3;Q74;R>55;S>2 List-II Zn-Hg, HCl (1) Acetophenone au (i) KMnOQ,, KOH, A (2) Toluene (ii) SOCl5 CH3Cl (3) Benzene 3 anhyd. AICI NaNO,/HCI (4) Aniline  * > 273-278 K Zn, A (3) Phenol   END OF THE QUESTION PAPER LI/L1",92,Mathematics,Trigonometry,Understand,Hard
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   Q7 Let Pbea point on the parabola y = 4ax, where a >",17,Mathematics,Coordinate Geometry,Understand,Easy
JEE,2023,Shift 1,"The normal to the parabola at P meets the x -axis ata point Q. The area of the triangle PFO, where F is the focus of the parabola, is",29,Mathematics,Coordinate Geometry,Understand,Medium
JEE,2023,Shift 1,"If the slope m of the normal and a are both positive integers, then the pair (a,m) is (A) (2,3) (B) (1,3) (C) (2,4) (D) 3,4) 4/10",27,Mathematics,Calculus - Differentiation,Understand,Medium
JEE,2023,Shift 1,"JEE (Advanced) 2023 Paper   SECTION 3 (Maximum Marks: 24) e = This section contains SIX (06) questions. e The answer to each question is a NON-NEGATIVE INTEGER. e For each question, enter the correct integer corresponding to the answer using the mouse and the on- screen virtual numeric keypad in the place designated to enter the answer. e Answer to each question will be evaluated according to the following marking scheme: Full Marks : +4 If ONLY the correct integer is entered; Zero Marks : 0 Inall other cases. Q.8 Let tan”'(x) € (-2.2), for x € IR. Then the number of real solutions of the equation J/1+cos(2x) = V2 tan“!(tan x) inte st ( =, uf dd “luz 2) 2 2°2 2°2 is equal to Q.9 Let n> 2 be anatural number and f :[0,1] > R be the function defined by n(l 2nx) if0<x< n 2n(2nx-1) if tgp 2n 4n f(x) = 3 ; 4n(1  nx) if  <x<  4n n n-l n If 7 is such that the area of the region bounded by the curves x =0, x =1, y=O and y= f(x) is 4, then the maximum value of the function f is Q.10  , Let 75---57 denote the (7 +2) digit number where the first and the last digits are 7 and 98 a the remaining r digits are",224,Mathematics,Algebra,Remember,Hard
JEE,2023,Shift 1,"Consider the sum S = 774+ 7574+ 7557 +::-+75-+::57. If 99 ee 75-57 +m n S , where m and 7 are natural numbers less than 3000, then the value of m+n is 5/10",34,Unknown,Unknown,Understand,Medium
