exam,year,month,paper,paper_code,subject,topic,question_number,question_text,question_length,difficulty,bloom_level,source_folder,source_image
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Data Interpretation,52,"Arrange the folowing recurrence relations in increasing order of their time capacity (A) (n)= T(n/2)+1 (B) K(n) = 27 (n/2) +n (C) Fin) = 31 (n/3 (D) Vn) — 2T(n/2) + Yn (E) (n)=T(n- 1) +1 Choose the correct answer from the options given below (1) (E). ( ( (D), ( (2) (A ( (D ( (C (3) (E ( (B). (C) (4) (A), (B), (D), (E), (C)",68,Medium,Apply,UGC-NET(aug 2024),page_32.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,5,"Match List - I with List - H List - I List - (A) (I) Representation of bits Transport laver Physical Address Physical lave (B) (11) (C) Logical Address (11) Network laver (D) Segmentation and reassembly (IV) Data link laver Choose the correct answer from the options given below (1) (A)-(1), (B)-(ID), (C)-(H), (D)-(IY) (2 (A)-(I1), (B)-(V), (C)-(I), (D) -(1) (3) (A)-(ILD, (B)-(II), (C) -(IV), (D)-() (4) (A)-(D), (BEV), (C)-(IIN), (D)-(1)",71,Medium,Apply,UGC-NET(aug 2024),page_32.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Operating Systems,54,"Find the correct sequence of the storage device in ascending order based on their access time. (A) Registers (B) Magnetic Disk (C) Magnetic Tapes (D) Main memory (E) Optical Disk Choose the correct answer from the options given below (1) (B), (A). (D). (C), (E) ( “ } (B). (A). (E), (D), (C) (3) (C), (B), (A), (E), (D) (4) (C). (E), (B), (D). (A)",65,Medium,Apply,UGC-NET(aug 2024),page_33.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,55,"Match List - 1 with List - IL List - 1 List - I (Testing Type) (Description) (A) Unit testing (1) Testing individual components of the software. (B) Integrating, lesting, (al) Testing the interaction between integrated components. (C) System testing (Ip Testing to verify the system meets business needs. (D) Acceptance testing (ly) Testing the complete svstem to ensure it meets requirements. Choose the correct answer from the options given below (1) (A)-(). (BIC), (CCN), (D)-0V) (2) (A)-(1), (B}-(I), (C)-(IV), (D)-(IID) G) (A)-(1), (BCH, (C-(D, (DFdY) (4) (N)-). (BUY), (C)-ID, (D) CHI)",92,Medium,Apply,UGC-NET(aug 2024),page_33.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,56,"Arrange the following Lanyuaye Classes in ascending order according to their expressive power, as defined by Chomsky hierarchy : (A) Context-free languages (B) Context-sensitive languages (C) Regular languages (D) Unrestricted Grammars Chouse the correct answer from the options given below Q) (C), (AY (B), (D) (2) (C), (A), (D), (B) Q) (A), (C), (B), (D) (4) (A), (D). (BY. ()",60,Medium,Apply,UGC-NET(aug 2024),page_34.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Algorithms,57,"Match List - 1 with List - IL List - 1 List - I (A) Dijkstra’s Algorithms (I) Find the shortest path between all pairs of vertices ina graph with positive or negative edge weights. (B) Hlovd-Warshall Algorithms ab Finds the shortest path in a weighted graph with non-negative edge weights. (C) Bellman-frod Algorithms (0) Serts elements by repeatedly moving them post neighboring clements that are smaller. (D) Prim’s Algorithms (IV) Determines the strongest connected components in a directed graph. Choose the correct answer from the options given below Q) (A)-(1D, (B)-(), (C)-(H, (D)-V) (2) (A)-(U), (B)-(), (C)-(IV), (D)-(1ID) Q) (A)-(0), (B)-(II), (C)-(111), (D)-(IV) (4) (AHCI), (BH), C)-0Y), (D0)",109,Medium,Apply,UGC-NET(aug 2024),page_34.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,58,"Arrange the given steps required fora Direct Memory Access (DMA) transfer in the correct order. (A) Initiate DMA transfer request (8) Transfer data directly between peripheral and memory (C) Processor grants DMA control over the system bus (D) DMA controller completes data transfer and signals completion Chouse the correct answer trom the options given below Q) (C), (A). (B). (D) ( = ) (A}, (C), (B) (D) Q) (A), (B). (C). (DP) (4) (C), (B), (A), (D)",77,Medium,Apply,UGC-NET(aug 2024),page_35.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Data Structures,59,"A graph G with number of vertices greater and equal than three ic. (n 2 3) isa Hamiltonian graph, if the degree of each vertex is greater and equal to . (1) Equal to nuinber of vertices (2) Double of number of vertices Half of number of vertices i) (4) Four times of number of vertices",56,Medium,Apply,UGC-NET(aug 2024),page_35.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Databases,60,"Arrange the following steps in a proper sequence for the Wwpical process of a DNS query : (A) Query authoritative DNS Server (B) Query local DNS Server (C) Local DNS Server Check Cache {D) Query root DNS Server (E) Query TLD DNS Server Choose the correct answer from the oplions given below (1) (A). (C). (E). (B). (D) { ) {E), (A), (C), (B). (D) Q) (A), (B). (©), (D). (2) (4) {B), (C), (D), (E). (A)",77,Medium,Apply,UGC-NET(aug 2024),page_36.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,61,"Ina schema R(A, B,C, D, EF, G, Hi), each field of R contains only atomic values. F-{CH-3G, ABC, B-oCFH, EA, ForkG} is a set of functional dependencies so that F + is exactly the set of FDs that holds R. The relation R is : (1) In INF, but not in 2NF (2) In 2NF, but not in 3NF Q) In 3NF, but not in BCNF (4) In BCNF",69,Medium,Apply,UGC-NET(aug 2024),page_36.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,62,"Consider the Grammar : S>A A > $B5|id BoB, AIA If lj =CLOSURE ({[S > .A]}} then, how many items be in the set for GOTO(Ip, $) (1) (2) - (3) (4)",32,Medium,Apply,UGC-NET(aug 2024),page_37.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,63,Which of the following statements about pointers in C are TRUL. (A) Pointers can be used to access array elements (B) Pointers can store the address of another pointer (C) Pointers are automatically deferenced in expression (D) Pointers cannot be used to access structure members Choose the correct answer from the options given below : (1) (A) and (C) Only (2) (A) and (B) Only (3) (B) and (C) Only (4) (C) and (D) Only,75,Medium,Apply,UGC-NET(aug 2024),page_37.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,65,"Arrange the following steps in a proper sequence for the process of training a neural network. (A) Weight initialization Feed forward (B) (C) Back Propagation (D} Loss Calculation (E) Weight Update Choose the correct answer from the options given below : (1) (A), (B), (D), (C). (E) (2) (D), (B). (A), (C), (E) Q) (A), (C), (D), (BY, (E) (4) (E), (C), (B), (D), (A)",65,Medium,Apply,UGC-NET(aug 2024),page_38.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,66,Which of the following C++ statements correctly declares an abstract class ? (1) class A { virtual void show() = 0; }; (2) class A { void show() = 0; }; (3) class A { void show() { } : 4}: (4) class A { show() = 0; };,49,Medium,Apply,UGC-NET(aug 2024),page_39.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,67,"Match List - 1 with List - II List - I List - I (computing systems) (working/output) (A) Half Adder (1) Has n input and 2"" output (B) Decoder (i) CPU Storage Unit (C) Register (III) Used to store program at runtime (D) Main memory (IV) 2-bit addition circuit Choose the correct answer from the options given below (1) (A)-(ID, (B)-dID, (C)-@V), (D)-(D (2) (A)-(IV), (B)-(ID, (C)-(D, (D)-(1) (3) (A)-CV), (B)-(D, (C)-CID, (D)-(HD) (4) (A)-(), (B)-(IV), (C)-(D, (D)-(1)",78,Medium,Apply,UGC-NET(aug 2024),page_39.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Data Interpretation,4,"If the number of students who passed in Commerce from Citv-F is 3240, then the number of ° students who passed from City-F is v of the number of Science students who passed from Citv-F. () ( = ) G) (4)",41,Medium,Apply,UGC-NET(aug 2024),page_4.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Data Interpretation,68,"Arrange the following steps in the correct order to solve the Knapsack problem using, Dynamic Programming. (A) Define the base case when the capacity is zero (0) or no items are left to consider (B) Compute the maximum value that can be obtained using items up to the i-th item and a knapsack capacity of 0 (C} Identify subproblems and their dependencies based on items weights and values (D) Initialize a table to store results of subproblems (E) lterate through each item and each possible Capacity to fill the table Chouse the correct answer from the options given below (1) (Cy), (D). (A), (1, (B) (2) (D), (C), (A), (2), (B) (3) (A}, (©), (D). (BD. (B) (4) (D), (A), (C). (EF) (B)",123,Medium,Apply,UGC-NET(aug 2024),page_40.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,69,"Match List - 1 with List - IL List - I List - II (A) The activation function (I) is called the delta rule. (B) The learning method of perceptron (11) is one of the key components of the perceptron as in the most common neural network architecture. (C) Areas of application of artificial neural (II) is alwavs boolean like a switch. network include (D) The output of the perceptron (Iv) system identification and control. Choose the correct answer from the options given below q) (A)-(UD, (B)-V), (C)-(IE), (D)-(D) { > ) (A)-(7V), (B)-(EID, (C)-(IB, (D)}-(B) Q) (A)-(1), (B)-), (C)-(IY), (D)-(UH (4) (A)-(UID, (B)-IV), (C)-(), (D)-()",106,Medium,Apply,UGC-NET(aug 2024),page_40.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,70,In a token ring network the transmission speed is 10° bps and the propagation speed is 200 m/ ps. The f-bit delay in this network is equivalent to 20 m Q) (2) 30m G) 50 m 40m (4),38,Medium,Apply,UGC-NET(aug 2024),page_41.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,71,Consider the following statements regarding combinational and sequential circuits. (A) Output of combinational circuits depends on the only current inpul. (B) Output of combinational circuit depends on the both current input and previous output. {C) Output of sequential circuit depends on the current inpul. (D) Output of sequential circuit depends on both current input and previous output. Choose the correct answer from the options given below (1) (A) and (C) Only (2) (A) and (D) Only (3) (B) and (D) Only (4) (B) and (C} Only,86,Medium,Apply,UGC-NET(aug 2024),page_41.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,72,"Consider following C program #include<stdio.h> int main() int x[]= {2, 4, 6, 8, 10}; int a, b=0, *v=x4+ 4; for(a=0; a<5; at++) b=b+(*v —a)-*(v—-a); print{(“%d\n"", b); return O; What will be the output of the above C program ? (1) -_ a) ( ) (3) (4)",46,Medium,Apply,UGC-NET(aug 2024),page_42.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,73,"Translate vx3y(xv<y) in Enplish. Consider domain as a real number for both the variables. (1) For all real numbers x, there exists a real number y such that 2 is less than y (2) For every real numbers y, there exists a real number x such that 2 is less than y (3) For some real numbers a, there exists a real number y such that x is less than y (4) For each and every real numbers x and y, x is less than y",86,Medium,Apply,UGC-NET(aug 2024),page_43.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,General,74,"Which of the following languages can be recognized by Non-Deterministic Finite Automata (NFA) but cannot be recognized by Deterministic Finite Automata (DEA) ? (A) L, = {we {0 I}* [the length of w is even} (8) Lam fwe {0 It [the length ef wis odd} (C) Ly = fwe {0 1}* [all 0's come before all I's in wt (D) Ly = {we {0 If | w contains an equal number of 0's and 1's} (Lk) L, = {we {0 T}* Jall I’s come before all 0’s in w} Choose the correct answer from the options given below : Q) (A) and (B) Only (2) (B) and (C) Only (3) (C) and (D) Only (4) (D) and (LE) Only",119,Medium,Apply,UGC-NET(aug 2024),page_43.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Networks,76,"A has IP address 203.197.2.53 and subnet Two computers A and B are configured as follows mask 255.255.128.0, B has [P address 203.197.75.201 and subnet mask 255.255.192.0. What one of the following statement is true ? () \and B both assume they are on the same network ( = ) B assumes, A is on same network, A assumes B is on different network G) ‘assumes, B is on same network, but B assumes, A is ona different network (4) A and B both assume they are on different network",90,Medium,Apply,UGC-NET(aug 2024),page_44.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,77,"Match List - I with List - ID. List - I List - ll (IP Address) (Class) (A) 10.20.30.40 (I) Class E (B) 210.20.30.3 (11) Class B 180.30.100.10 (111) Class A (C) (D) 252.5.15.11 (IV) Class C Choose the correct answer from the options given below (1) (A)-(I1), (B)-(II), (C)-(), (D)-(IV) (2) (A)-(1), (B}-CIV), (C)-(H), (D)-CHD) (3) (A)-(1), (B)-(ID, (C)-(IY), (D)-(ID (4) (A)-(IE), (B)-(IV), (C)-(ID, (D)-(1)",66,Medium,Apply,UGC-NET(aug 2024),page_45.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Programming,78,"What will be the output of the following C code? #include<stdio.h> void main() int arr[5] = {10, 20, 30, 40, 50}; int *p= (int*) (&arr+ 1); print{(“%d%d"", *(arr + 1), *(p—- 1)); (1) 10 50 - 20 50 ( ) (3) 30 40 20 40 (4)",46,Medium,Apply,UGC-NET(aug 2024),page_46.png
UGC NET,2024,August,Paper 2,2,Computer Science and Applications,Databases,79,What is SOL primarily used for in the context of relational databases ? (1) To design user interfaces (2) To create and manipulate databases (3) To display data on web pages (4) To fermat printed reports,36,Medium,Apply,UGC-NET(aug 2024),page_46.png
